订单ID	用户ID	国家	省份	城市	区县	订单金额
339085	29593	1	11	161	1368	114
339086	157657	1	17	238	2022	102
339087	111920	1	14	200	1671	46
339088	115660	1	8	119	1038	362
339089	135007	1	6	88	799	233
339090	156650	1	6	95	3412	87
339091	86688	1	7	109	953	533
339092	1807	1	26	322	2730	471
339093	177789	1	31	385	3253	210
339094	189500	1	14	197	1651	341
339095	113646	1	24	311	2598	286
339096	108886	1	6	77	706	403
339097	43022	1	2	52	506	146
339098	150957	1	9	121	0	42
339099	108886	1	6	77	706	313
339100	108886	1	6	77	706	422
339101	36220	1	14	208	1742	803
339102	108886	1	6	77	706	984
339103	173233	1	6	88	798	320
339104	213821	1	25	321	2720	199
339105	93356	1	6	76	696	160
339106	72836	1	27	343	2919	36
339107	137741	1	6	83	765	135
339108	188113	1	32	394	3325	377
339109	58163	1	22	285	2360	329
339110	100751	1	2	52	506	666
339111	55851	1	4	60	591	106
339112	59312	1	6	76	696	238
339113	213784	1	2	52	509	445
339114	137741	1	6	83	765	135
339115	98692	1	16	231	1945	79
339116	98692	1	16	231	1945	16
339117	5851	1	14	197	1648	725
339118	213784	1	2	52	509	56
339119	33785	1	4	56	549	1078
339120	128706	1	32	394	3328	854
339121	121212	1	16	221	1855	176
339122	112749	1	31	385	3251	300
339123	174729	1	4	60	590	221
339124	160553	1	13	180	1554	201
339125	1452	1	6	78	711	644
339126	231249	1	17	239	2028	2589
339127	202853	1	6	76	693	614
339128	231712	1	23	304	2523	52
339129	63470	1	9	120	1055	95
339130	59432	1	29	356	3036	390
339131	4989	1	29	351	3006	102
339132	61153	1	22	297	2453	99
339133	33444	1	6	95	847	407
339134	137226	1	14	197	1655	161
339135	9038	1	4	60	587	557
339136	165179	1	29	359	3053	502
339137	170273	1	6	89	806	62
339138	36700	1	25	321	2715	130
339139	18805	1	30	382	3225	2079
339140	173991	1	30	376	3169	180
339141	2288	1	8	111	964	191
339142	5754	1	6	76	697	93
339143	121212	1	16	221	1855	164
339144	95767	1	6	79	735	375
339145	500	1	26	322	2723	2221
339146	214688	1	6	84	771	802
339147	165179	1	29	359	3053	137
339148	59923	1	10	139	1109	594
339149	69989	1	25	321	2711	237
339150	170474	1	4	60	590	73
339151	128315	1	14	197	1654	76
339152	169216	1	7	109	954	51
339153	105114	1	4	53	524	169
339154	93826	1	6	77	709	289
339155	110586	1	31	388	3279	449
339156	85487	1	16	221	1868	564
339157	48624	1	4	56	550	95
339158	91753	1	16	221	1849	727
339159	1329	1	14	197	1651	467
339160	225466	1	4	61	596	514
339161	60578	1	16	227	1914	117
339162	40965	1	6	79	715	383
339163	28220	1	6	77	706	93
339164	33938	1	16	227	1915	256
339165	125331	1	4	57	559	2930
339166	60279	1	6	90	810	174
339167	11700	1	24	311	2598	1424
339168	129177	1	31	386	3266	121
339169	34244	1	23	310	2590	871
339170	30638	1	31	386	3266	186
339171	17128	1	4	53	520	30
339172	167036	1	16	223	1883	218
339173	228270	1	30	367	3101	227
339174	167036	1	16	223	1883	157
339175	121650	1	4	53	522	190
339176	25949	1	22	284	2344	757
339177	142944	1	6	76	700	125
339178	185761	1	29	359	3053	715
339179	47814	1	4	58	562	182
339180	53495	1	14	197	1656	102
339181	185761	1	29	359	3053	605
339182	160230	1	13	181	1558	53
339183	39072	1	27	343	2913	19
339184	71	1	14	199	1661	74
339185	73798	1	7	97	854	68
339186	75912	1	10	143	1174	153
339187	117932	1	26	339	2885	590
339188	27848	1	10	138	1085	241
339189	16605	1	14	205	1722	294
339190	22944	1	11	163	1389	55
339191	30397	1	14	200	1670	84
339192	42011	1	11	150	1270	223
339193	16605	1	14	205	1722	315
339194	121677	1	3	43	449	111
339195	96086	1	32	394	3338	394
339196	167340	1	31	388	3286	207
339197	146764	1	26	322	2725	153
339198	136332	1	31	391	3305	127
339199	75740	1	17	239	2028	150
339200	29243	1	10	138	1098	24189
339201	224592	1	6	82	757	46
339202	118219	1	26	322	2730	150
339203	217325	1	14	209	1758	45
339204	208983	1	31	383	3231	314
339205	56758	1	31	393	3320	102
339206	24954	1	27	343	2916	65
339207	107695	1	26	322	2723	69
339208	38179	1	6	76	695	56
339209	26831	1	30	367	3102	156
339210	63401	1	22	295	2432	94
339211	30096	1	17	234	1977	97
339212	54704	1	22	288	2377	72
339213	151460	1	11	159	1348	474
339214	50249	1	8	111	963	205
339215	52010	1	12	178	1517	53
339216	30096	1	17	234	1977	55
339217	77665	1	26	327	2787	48
339218	165984	1	10	138	1082	41
339219	43639	1	31	383	3234	73
339220	118769	1	22	296	2438	259
339221	61574	1	4	61	593	357
339222	157576	1	22	292	2414	56
339223	194392	1	6	93	834	37
339224	37583	1	32	394	3361	55
339225	78799	1	3	49	482	250
339226	171729	1	22	297	2448	242
339227	34861	1	4	53	525	80
339228	133529	1	8	111	963	572
339229	37583	1	32	394	3361	59
339230	176554	1	6	80	748	32
339231	222397	1	10	147	1232	367
339232	34319	1	6	85	778	87
339233	113182	1	3	3401	3402	368
339234	2266	1	22	295	2432	85
339235	91	1	14	205	1723	28
339236	188071	1	7	97	857	133
339237	222873	1	24	316	2650	607
339238	9469	1	16	229	1929	239
339239	96431	1	18	244	2062	358
339240	228942	1	10	139	1108	65
339241	94761	1	6	76	696	391
339242	127532	1	16	221	1868	169
339243	201523	1	6	76	695	370
339244	197964	1	6	76	696	71
339245	126769	1	18	246	2090	146
339246	219498	1	4	56	550	257
339247	170831	1	6	79	733	266
339248	156673	1	22	298	2464	106
339249	172061	1	4	57	561	358
339250	4592	1	18	244	2064	241
339251	25473	1	26	322	2744	331
339252	2266	1	22	295	2432	79
339253	219172	1	16	226	1908	50
339254	118070	1	18	246	2085	578
339255	139339	1	31	388	3286	59
339256	17333	1	31	383	3229	186
339257	4125	1	6	76	693	137
339258	99521	1	31	387	3273	38
339259	69430	1	16	229	1927	118
339260	72290	1	4	53	523	248
339261	31068	1	14	209	1755	106
339262	62082	1	27	343	2914	123
339263	108903	1	31	391	3308	245
339264	8781	1	14	201	1686	194
339265	166332	1	19	261	2182	351
339266	152849	1	16	222	1876	315
339267	210592	1	18	257	2156	198
339268	138507	1	22	293	2420	502
339269	2675	1	31	383	3231	77
339270	108277	1	31	392	3316	41
339271	121811	1	15	215	1804	81
339272	144678	1	6	76	696	168
339273	8806	1	6	77	708	242
339274	18899	1	22	296	2437	710
339275	51377	1	14	197	1647	168
339276	228089	1	10	138	1081	52
339277	105656	1	6	76	695	111
339278	109593	1	14	204	1719	62
339279	127248	1	31	388	3279	214
339280	11543	1	22	292	2409	142
339281	223072	1	17	235	1993	670
339282	92739	1	18	244	2067	138
339283	123776	1	30	381	3215	77
339284	198506	1	26	322	2724	94
339285	8065	1	31	386	3269	452
339286	1929	1	31	386	3255	646
339287	205199	1	6	90	808	2108
339288	230515	1	14	203	1705	60
339289	16011	1	6	76	700	132
339290	198102	1	16	230	1943	129
339291	119232	1	6	76	699	174
339292	6961	1	6	84	773	140
339293	166796	1	6	96	850	115
339295	174313	1	22	284	2349	550
339296	231101	1	3	41	444	897
339297	158582	1	18	244	2060	132
339298	174563	1	14	197	1649	76
339299	231101	1	3	41	444	754
339300	7542	1	32	394	3329	50
339301	70889	1	7	97	855	78
339302	230759	1	7	97	854	344
339303	35802	1	31	383	3232	55
339304	177940	1	13	180	1550	70
339305	199191	1	16	229	1923	60
339306	75432	1	7	97	855	174
339307	116663	1	15	211	1782	45
339308	192542	1	6	84	774	105
339309	175902	1	4	53	518	305
339310	159893	1	6	76	695	60
339311	106676	1	17	237	2012	960
339312	12572	1	6	87	794	58
339313	528	1	14	197	1647	31
339314	12572	1	6	87	794	67
339315	49742	1	16	229	1923	699
339316	22137	1	25	321	2706	48
339317	85040	1	17	233	1958	99
339318	32748	1	22	284	2348	71
339319	111645	1	5	63	612	270
339320	224540	1	21	275	2291	42
339321	32748	1	22	294	2425	53
339322	12572	1	6	87	794	124
339323	217880	1	19	261	2182	90
339324	62144	1	26	335	2865	406
339325	216572	1	18	244	2069	81
339326	57143	1	30	380	3207	103
339327	124997	1	26	322	2724	78
339328	148551	1	4	53	523	85
339329	64021	1	4	53	523	386
339330	70272	1	3	51	499	72
339331	79642	1	24	317	2653	1000
339332	228874	1	31	388	3284	39
339333	220524	1	8	111	964	114
339334	109593	1	14	204	1719	69
339335	114941	1	13	194	1619	142
339336	124049	1	17	240	2041	144
339337	9746	1	2	52	506	94
339338	59641	1	13	180	1557	94
339339	60675	1	14	197	1656	267
339340	105071	1	16	231	1950	60
339341	139339	1	31	388	3286	134
339342	18061	1	27	343	2915	73
339343	176371	1	11	163	1390	98
339344	93970	1	22	288	2379	504
339345	85070	1	31	386	3269	111
339346	168870	1	22	296	2438	45
339347	156459	1	16	222	1874	86
339348	83644	1	7	107	939	117
339349	14432	1	25	321	2716	78
339350	126665	1	6	76	695	373
339351	74125	1	16	229	1927	44
339352	227996	1	26	323	2753	25
339353	226035	1	16	222	1877	105
339354	230655	1	4	58	568	190
339355	151712	1	31	386	3409	190
339356	95289	1	14	201	1686	455
339357	135128	1	16	227	1914	79
339358	78013	1	18	244	2064	469
339359	46585	1	13	180	1551	174
339360	212943	1	6	77	706	199
339361	85070	1	31	386	3269	155
339362	156181	1	17	235	1995	394
339363	196534	1	16	230	1936	57
339364	109391	1	13	180	1547	40
339365	169793	1	16	220	1846	236
339366	209713	1	11	157	1340	136
339367	134159	1	6	94	839	82
339368	133214	1	6	79	715	66
339369	12535	1	22	298	2464	23
339370	23611	1	16	223	1883	35
339371	46650	1	24	318	2668	201
339372	137741	1	6	83	765	388
339373	175000	1	31	390	3299	221
339374	181309	1	6	76	695	45
339375	75015	1	14	201	1684	174
339376	27568	1	30	367	3102	1164
339377	137741	1	6	83	765	105
339378	134303	1	29	354	3022	423
339379	170100	1	6	94	839	78
339380	30117	1	6	79	735	714
339381	1682	1	7	97	858	71
339382	88911	1	3	3401	3408	90
339383	59641	1	13	180	1557	138
339384	27503	1	31	386	3255	63
339385	181309	1	12	169	1444	102
339386	209904	1	9	120	1055	420
339387	112077	1	3	46	469	37
339388	164039	1	22	292	2408	1426
339389	62075	1	24	311	2604	98
339390	48161	1	11	152	1294	267
339391	128401	1	30	367	3102	121
339392	59641	1	13	180	1557	138
339393	224045	1	24	314	2631	163
339394	186946	1	23	305	2527	282
339395	95289	1	14	201	1686	1101
339396	119430	1	26	329	2810	91
339397	227265	1	14	197	1656	132
339398	78087	1	6	76	696	49
339399	231825	1	19	261	2182	39
339400	45775	1	5	70	659	308
339401	169515	1	15	212	1790	102
339402	85497	1	4	58	568	176
339403	75488	1	14	210	1761	109
339404	125133	1	11	166	1411	248
339405	118647	1	6	76	700	281
339406	176309	1	14	206	1728	71
339407	75488	1	14	197	1648	75
339408	40804	1	7	97	854	37
339409	144003	1	31	385	3253	224
339410	168892	1	11	149	1254	106
339411	142965	1	25	321	2709	165
339412	17737	1	14	210	1763	329
339413	105071	1	30	373	3156	40
339414	118647	1	13	180	1550	77
339415	189309	1	6	76	701	66
339416	170100	1	6	94	839	78
339417	108277	1	31	392	3316	61
339418	189309	1	6	85	779	115
339419	121677	1	3	43	449	71
339420	213821	1	25	321	2720	254
339421	12271	1	6	96	852	24
339422	12271	1	7	103	911	39
339423	333	1	26	342	2909	81
339424	128101	1	14	199	1661	399
339425	123776	1	30	381	3215	166
339426	221243	1	14	197	1656	95
339427	227057	1	4	53	524	117
339428	15694	1	31	383	3234	252
